數學,,,,,
臺灣中部的大肚台地、八卦台地普遍出露紅土礫石層，而且礫石多呈橢圓狀。由此推測，這 些台地的前身最可能是下列何種地形 ?,潮埔,沙灘,沖積扇,落石堆,3
如果全球的海平面上升5公尺，則下列臺灣的四個縣份中，哪個縣份被淹沒的土地面積，占 該縣總面積的比例最高 ? ,花蓮,苗栗,彰化,臺東,3
臺灣在颱風豪雨過後，某些地區因為淨水廠負荷過重，自來水系統無法正常運作，出現了豪 雨後短期內無水可用的窘境。造成此現象的原因，最可能與下列何者有關 ? ,水庫上游集水區面積太小,水庫集水區水土保持不良,事前水庫的洩洪水量過多,事後水庫的蓄水能力變差,2
,,,,,
二星,,,,,
臺灣中央山脈尾端，東側有「鳳梨釋迦園」、西側有「洋蔥田」的農作景觀，每到冬季盛產期時，兩地農民各自忙著採收，好不熱鬧。下列關於兩地鳳梨釋迦與洋蔥生長條件的敘述哪項最正確 ? ,西側的冬季，地方風風速較為強勁，洋蔥適應良好。,東側黑潮流經，冬季較為乾燥，有利鳳梨釋迦生長。,兩側冬季皆有迎風坡潮濕多雨的情況，不利農作成熟。,兩側冬季皆有盛行風翻越山脈的增溫效應，有利農作成熟。,1
某大學附近商業活動熱絡，影響當地居民的居住品質，市政府面對周邊社區居民的抗爭 ，依循住宅區8公尺巷弄內不得設立餐廳的規定，要求店家停業。上述作法和下列哪個概念關係最密切 ? ,開放空間,都市更新,環境影響評估,土地使用分區,4
都市化會造成洪峰流量的增加，形成此現象的最可能原因為下列何者 ? ,工業家庭廢水排放增加,地表逕流整體流量增加,休閒農業灌溉用水增加,不透水面導致蒸發增加,2
近年來臺灣各大都市販售清真商品的商店如雨後春筍般出現，此現象最可能與下列哪 個國家來臺的勞工人數增多有關 ? ,泰國,印尼,越南,菲律賓,2
臺灣某處海岸受到風?、波浪、潮汐和海流等營力的長期作用下，再加上河川輸沙銳減與地層下陷的影響，導致海岸地形有明顯的變遷。該處海岸在 10 年內最可能發生下列 哪種變遷現象 ? ,海階緩慢上升,珊瑚礁海岸退縮,沙灘面積逐漸縮小,海蝕平台逐年縮小,3
星巴克咖啡最早由美國的西雅圖發跡，然後傳播至美國各大都市，再流行到世界其他都市。 此種傳播的方式，與下列哪個事件的擴散類型最相似 ? ,SARS在國際之間的傳染,撒赫爾沙漠化範圍的擴大,登革熱在臺灣島內的傳染,中國沙塵暴向臺灣的侵襲,1
開發者推動一地的發展時，需先就居民生活、自然、社會等層面，以科學、客觀、綜合的調查、預測與分析，提出可能對經濟、文化、生態等造成的衝擊程度及範圍。這種開發程序最 符合下列哪個概念的具體實踐 ? ,生態社區,地景多樣性,環境影響評估,土地使用分區管制,3
某衛生紙廠商於1968年成立，2007年分割部分事業成立消費品實業公司，除維持衛生紙產品外，也插足清潔用品的生產與銷售。上述的產業轉型屬於下列哪種經營策略 ? ,客製化,垂直整合,工業慣性,多角化經營,4
請問台科大的地址是幾號 ? ,42,43,44,45,2
近年來，歐洲難民成為歐盟的重大難題。這些難民多數來自厄利垂亞（Eritrea）、索馬利亞、奈及利亞、甘比亞和敘利亞、伊拉克、阿富汗等國。請問這些難民的原居住地，最盛行的宗教信仰為何 ? ,印度教,基督教,東正教,伊斯蘭教,4
,,,,,
三星,,,,,
水資源利用可區分為農業、工業和生活用水三類型，下列哪個區域的工業用水類型占該區內 的用水比例最高 ?,亞洲,歐洲,非洲,大洋洲,2
某人到日本參觀北海道的雪祭，各式各樣的雪雕令人嘆為觀止。影響當地冬季降雪豐富最主要的水氣來源為何 ? ,季風經日本海所吸收的水氣,太平洋東南季風的暖濕氣流,親潮流經海面所凝結的霧滴,反氣旋產生旺盛對流性降雨,1
嘉南大圳是由南幹線、北幹線及濁幹線等三條幹線聯繫中、南部兩大水系。該大圳調配 的水資源，除了來自曾文水庫與烏山頭水庫外，還包括下列何者 ? ,高雄澄清湖,臺中石岡水壩,屏東牡丹水庫,南投集集攔河堰,4
下列四個自然景觀帶所在的位置，哪個的氣候條件最有利於土壤化育中的聚鐵鋁化作用 ?,風吹草低見牛羊，現多為農業區和放牧帶。,生物群落最豐富，棲息分布呈現垂直分層。,多強風與沙塵暴，日夜溫差大且蒸發旺盛。,動植物種類不多，風勢強勁寒冷景觀單調。,2
2019年3月彰化市一間名為「彰化百貨」的百貨行歇業，各媒體紛紛報導此事，並以 「彰化市為什麼沒有百貨公司？」為題訪問路人，有路人提到彰化人比較常去臺中逛 百貨公司。上述現象最適合以下列哪個理論加以解釋 ? ,邱念圈,推拉理論,中地理論,工業區位論,3
巴塔哥尼亞高原位於阿根廷南部和一小部份的智利境內，擁有如莫雷諾冰河的酷冷景 觀，也有廣大荒蕪的沙漠，亦有麥哲倫企鵝的分布。造成該高原氣溫低於同緯度地區 的原因，最可能為下列何者 ? ,位於西風背風側,福克蘭洋流流經,ITCZ季節性移動,極圈低壓全年籠罩,2
"LUCKY TIME!! THE Ans IS ""TWO""!!",?!,?!,?!,?!,2
英國於海外殖民時期，從殖民地獲得許多原料，加工為成品後再輸往世界各國。當時英國發 展的紡織工業，其棉花與羊毛原料大多來自下列哪些地區 ?,埃及、巴西,中國、澳洲,印度、紐西蘭,馬來西亞、巴西,3
每年11、12月前後的 英國大型量販店常可見到空運來此的當季荔枝，請問這些荔枝，最有可能來自下列何處 ? ,臺灣,紐西蘭,玻利維亞,馬達加斯加,4
斷層錯動是造成地震的主要原因，某研究機構擬評估地震災害對該設施的潛在衝擊，需利用地理資訊系統的哪項空間分析功能 ? ,地勢分析,環域分析,路網分析,視域分析,2
,,,,,
歷史,,,,,
一星,,,,,
臺灣各地都有一些重要的民俗活動，如臺東的炮炸寒單、臺南的鹽水蜂炮、屏東東港的燒王船等。這些民俗活動的共通點應是 ? ,均在元宵節進行,起源自觀光需求,祭拜同一位主神,為了解厄抗瘟疫,4
某書寫到：這個時期，官學衰微，學舍內雜草叢生，屋宇傾頹。有大臣指出，入仕者多本於 家學，官學學風不盛，士子入官學讀書的意願不高，因此建議徹底整頓。這個時期最可能是 ? ,春秋私人講學時期,魏晉士族盛行時期,宋代科舉擴大時期,明清理學興盛時期,2
一位中國學者為了研究某一朝代的歷史，特別去學習波斯文、拉丁文和阿拉伯文，以便閱讀這個朝代對外征戰的相關史料及研究成果。這位學者要研究的朝代最可能是 ? ,東漢,北魏,北宋,元代,4
一份資料提到：十七世紀早期，荷蘭人占領安平作為貿易中心與統治據點，該地區的原住民 族開始與世界舞臺接觸。荷蘭人為其創造的一套羅馬拼音文字，成為臺灣南島民族有文字的 開始。文中的原住民族應是 ? ,阿美族,排灣族,西拉雅族,凱達格蘭族,3
中世紀到十六世紀末，歐洲的自然哲學家若非神職人員，就是在教會主導的大學工作。英國哲學家培根曾批評說：大學是知識疾病的孕育場所。十六到十八世紀，歐洲大學沒有成為科學知識發展的園地，應歸咎於 ? ,固守神學論辯和經院哲學的研究傳統,缺乏科學實驗所需的研究經費和人力,受宗教改革影響陷入新舊教派衝突中,與新興專制政府聯手打壓新科學研究,1
1661年鄭成功攻打臺灣，有記載提到：當時，有的原住民族歡迎鄭成功，甚至追隨漢人對荷蘭人作戰；但也有的與荷蘭人合作，攻擊鄭成功軍隊。我們如何理解此一情形 ? ,此敘述出自漢人，與實際的情況顯然有出入。,各部落原住民族之意見紛歧，立場未必一致。,鄭成功以民族大義號召，原住民族紛紛響應。,原住民族利用雙方衝突之際，恢復大肚王國。,2
清廷經營台灣，下列哪個行政區最晚設立 ? ,彰化縣,諸羅縣,葛瑪蘭廳,淡水廳,3
請問十三行文化遺址在台北哪裡被發現 ? ,八里,陽明山,淡水,五股,1
清朝時的地名「蛤仔雞」位於今日台灣何縣市?,台南,桃園,宜蘭,台東,3
鄭經治台時，改國號為 ? ,西寧,東寧,東島,高砂,2
,,,,,
二星,,,,,
外來者帶來新的疾病，當地居民因缺乏抗體，感染之後死亡率甚高。在十年之內，有將近一 半人口死於這種新的疾病；到五十年後，更只剩下原有人口的十分之一。這最可能是何時何 地的情況 ? ,十六世紀西班牙人進入中南美洲,十七世紀荷蘭人進入臺灣,十八世紀英國人進入印度半島,十九世紀美國白人開發西部,1
司馬遷主張申不害之學「本於黃老而主刑名」。又說韓非「喜刑名法術之學，而其歸本於黃 老」。講到漢武帝之崇儒，又說：「竇太后崩，武安侯田蚡為丞相，絀黃老、刑名百家之言」。司馬遷所說的「黃老」比較接近?,清心寡欲的境界,追求長生的方法,治國理民的技術,放任自然的態度,3
在古代中國，姓或氏是身分與權力的象徵。但秦漢以後，姓氏普及於一般平民。秦漢以後姓氏普及的原因最可能是 ? ,華夷族群的混同,登錄戶籍的需要,人口遷徙的頻繁,國際貿易的興盛,2
十九世紀中期，一群人士發表一份文件，自稱是「在歐洲遊蕩的一縷幽靈」，號召下層階級團結起來反抗壓迫，爭取平等。這群人最可能是 ? ,民族主義者,共產主義者,自由主義者,資本主義者,2
1940年末，日本軍隊南進，入侵中南半島，迅速控制了法國殖民地越南。日軍得以順利進入越南的背景最可能是 ? ,珍珠港事變後，美國無力阻止日本在東南亞的擴張。,德國侵略法國後，扶植的維琪政府同意與日本合作。,日本在中國的戰事受挫，轉進至中南半島重新整備。,越南共產黨發動革命，越南政府請求日本派兵援助。,2
漢初法律規定，國家按人民的爵等賜予田土和居宅。北魏至唐初也都有政府頒授土地給成年人的相關法令。這些作法的共通目的最可能是 ? ,擴大國家賦稅來源,實現均富社會理想,強化社會救濟效果,促進農耕技術改良,1
某地圖書館藏有一份手抄本，抄錄清乾隆皇帝登基前與父親雍正皇帝唱和的詩作。根據學者考證，清朝藩屬派遣使臣到北京覲見時，需與皇帝賦詩唱和，上述手抄本乃供使臣揣摩練習 之用。這位使臣最可能來自 ? ,日本,臺灣,暹邏,琉球,4
蒙古人統一中國時，世居西域一帶的最有可能是甚麼階級的人?,蒙古人,色目人,漢人,南人,2
中國四大美女中，何種為虛構人物 ? ,楊貴妃,貂蟬,西施,王昭君,2
"BREAK TIME!!   The true Ans is ""Three""! ",TRUE,FALSE,FALSE,FALSE,3
,,,,,
三星,,,,,
1840到1870年代之間，估計有數十萬中國的勞工，前往中南美洲的西印度群島、古巴及秘魯等地，從事勞力工作。當時華工前往中南美洲，最可能的原因是 ? ,中南美洲地廣人稀，吸引華人移入,東南亞排華，導致華人移往美洲,歐美實施禁奴政策，導致人工不足,清朝政府鼓勵人民前往海外拓殖,3
一座紀念碑雕刻了兩幅某國軍隊在南非、中國的軍事行動。碑文說明：為紀念在1899年、 1900年兩次軍事行動中犧牲的同袍。這座雕像最可能位於何處 ? ,俄羅斯的聖彼得堡,荷蘭的阿姆斯特丹,法國的巴黎,英國的倫敦,4
十九世紀中期，美國企圖在亞洲獲取商業與軍事利益。某國遭受美國的武力要脅，被迫開港通商。迫使該國與美國簽訂不平等條約的事件是 ? ,黑船事件,亞羅船事件,東學黨事件,美西戰爭,1
1662年鄭成功擊退荷蘭，攻下臺灣之後，清廷與荷蘭合作，鄭氏政權深感壓力，亟需外援。 此時，歐洲「某國」實施航海法，與荷蘭人競爭海外貿易，允諾協助鄭經製造武器。請問某國是 ?,英國,法國,西班牙,葡萄牙,1
第二次世界大戰結束後，各國都有作家描述他們的戰爭經歷。柏林、倫敦、重慶、東京、臺 北等地的作家，對1944年的共同記憶最可能是 ? ,族群迫害,強制徵兵,敵軍轟炸,傀儡政權,3
非洲西岸的聖赫倫納島附近，打撈到一艘十七世紀初期的歐洲商船，船上有一百多件中國青花瓷。學者解釋，當時歐洲多國爭奪亞洲貿易主導權，常發生海戰。這艘船最可能是因哪兩 國海戰而沉沒 ? ,西班牙與瑞典,西班牙與丹麥,葡萄牙與法國,葡萄牙與荷蘭,4
提拉米蘇是哪個國家的甜點 ? ,荷蘭,法國,義大利,英國,3
遠古時代，傳說皇帝於何地打敗蚩尤 ? ,官渡,涿鹿,沙鹿,涿牛,2
unfortunatly; the Ans is hided… JUST GUESS!!,I' m the true Ans!,I' m the true Ans!,I' m the true Ans!,I' m the true Ans!!,4
創立坐標幾何的人是誰 ? ,巴比,丟番圖,笛卡兒,畢達哥拉斯,3
,,,,,
猜謎,,,,,
一星,,,,,
面前兩扇窗，大小一個樣，開窗亮堂堂，關窗不見光。 （猜一人體器官）,鼻子,嘴巴,眼睛,耳朵,3
抓不到來看不到，不香不臭沒味道，動物植物離不了，沒有它就活不了。 （猜一自然物）,水,二氧化碳,空氣,陽光,3
保護莊稼來站崗，不吃米飯不喝湯，不怕臘月穿單衣，不怕夏天曬太陽。 （猜一物）,土地公廟,捕鳥網,小狗,稻草人,4
有頭有身沒有腿，黑黑舌頭尖尖嘴，工作之前先脫帽，不吃飯來光喝水。 （猜一文具）,自動鉛筆,鋼筆,訂書針,水彩筆,2
有齒不是鋸，用時拿手裡，有它能開門，沒它進不去。 （猜一生活物）,鑰匙,門把,門鏈,雨傘,1
一個小姑娘，生在水中央，身穿粉紅衫，坐在綠船上。(打一植物),荷花,水仙花,鳳凰花,布袋蓮,1
身穿綠衣裳，肚裡水汪汪，生的子兒多，個個黑臉膛。(猜一水果),木瓜,西瓜,釋迦,芭樂,2
身披花棉襖，唱歌呱呱叫，田裡捉害蟲，豐收立功勞(猜一動物),水鴨,蟋蟀,福壽螺,青蛙,4
耳朵長，尾巴短，紅眼睛，白毛衫，三瓣嘴兒膽子小，青菜蘿蔔吃個飽。(猜一動物),綿羊,白兔,三線鼠,小豬,2
雖有翅膀飛不起，非洲沙漠多足跡，快步如飛多迅速，鳥中體重它第一。(猜一動物),鴕鳥,企鵝,蝙蝠,始祖鳥,1
,,,,,
二星,,,,,
小巧玲瓏一隻箱，不用點火會有光，只要短短几分鐘，燒好飯菜噴噴香。(猜一電器),電鍋,微波爐,燈泡,瓦斯爐,2
喜愛天晴月明，惱恨月暗天陰，別人穿紅著綠，獨我黑衣一身。 （猜一自然現象）,彩虹,霧,影子,雷陣雨,3
萬國九州一玉娘，風流只在十五上，十七十八得下病，二十七八一命亡。 （猜一自然物）,湖,西北雨,太陽,月亮,4
山連山，山疊山，橫山豎山平頂山，遠望山景比眼力，看完大山看小山。 （猜一物）,視力表,望遠鏡,山脈,答案卡,1
像鍋又太淺，說圓它又扁，生來脾氣怪，喜歡人打臉。 （猜一物）,平底鍋,鑼,鼓,CD,2
細桿桿，五寸長，一頭長毛一頭光，每天早晚洗個澡，人人用它保健康。 （猜一物）,牙線,牙刷,肥皂,毛巾,2
高高山上一蓬草，密密麻麻長得好，年年月月常整理，黑變白來多變少。 （猜一物）,牙齒,眼睫毛,頭髮,花圃,3
弟兄七八個，圍著柱子坐，只要一分開，衣服就扯破。(猜一蔬菜),薑,油菜,小白蔡,蒜頭,4
先修十字街，在修月花台，身子不用動，口糧自動來(猜一動物),老鼠,蜜蜂,蜘蛛,蜻蜓,3
粉妝玉琢新世界，傲霜鬥雪花自開，歲寒為報春來早，姐妹親朋喜開懷。(猜一植物),竹子,櫻花,梅花,杜鵑花,3
,,,,,
三星,,,,,
木宰相做圈套，牛魔王來坐朝，鐵將軍團團轉，兩光棍胡亂鬧。 （猜一物）,鼓,鋼琴,木琴,小喇叭,1
說它是花無人栽，六個花瓣空中開，北風送它下地來，漫山遍野一片白。 （猜一自然物）,油桐花,雪,大花咸豐草,冰雹,2
無風像面鏡子，落雨滿臉麻子，天熱懷抱鴨子，天冷蓋上蓋子。 （猜一物）,鏡子,鏡頭,湖泊,大海,3
黑雲飄飄，邊跑邊叫，游遍五洲，四海難到。 （猜一物）,郵輪,火車,快艇,閃電,2
一個東西三個口，不論貧富家家有，有它雖然不算富，無它不敢出門口。 （猜一物）,車子,包包,褲子,外套,3
兩隻小船各西東，十個客人坐當中，白天裡來來往往，到夜晚客去船空。 （猜一物）,鞋子,電話,筷子,碗,1
獨木造高樓，沒瓦沒磚頭，人在水下走，水在人上流。(猜一物),屋簷,雨傘,雨衣,溝渠,2
有面沒有口，有腳沒有手，雖有四隻腳，自己不會走。(猜一物),桌子,車子,碗,冰箱,1
上不怕水，下不怕火；家家廚房，都有一個 (猜一生活用品)。,鍋,碗,瓢,盆,1
駝背公公，力大無窮；愛馱什麼 車水馬龍(猜一物),橋,推車,翹翹板,道路,1
,,,,,
生活,,,,,
一星,,,,,
古時候所說的地牛翻身，指的是哪種天然災害 ? ,乾旱,地震,海嘯,颱風,2
放大鏡的鏡片，是屬於 ? ,凹透鏡,凸透鏡,陵鏡,平面鏡,1
俗稱的臘月，是指農曆的第幾月份 ? ,七月,一月,二月,十二月,4
大氣中含量最多的氣體為 ? ,氮氣,氧氣,二氧化碳,一氧化碳,1
漫畫「SNOOPY」中，SNOOPY的主人叫什麼名子 ? ,查理湯姆斯,查理布朗,查理士,查理喬森,2
西洋棋中，棋子種類的數量為 ? ,6,5,7,4,1
便利疫情通報及諮詢的專線是 ? ,113,1922,119,1950,2
西瓜是四季中哪一季所盛產的水果 ? ,春,夏,秋,冬,2
請問手遊種類「MMORPG」是甚麼意思 ? ,角色扮演遊戲,動作角色扮演遊戲,大型多人在線腳色扮演遊戲,多人線上戰鬥競技場遊戲,3
國王企鵝的孵蛋工作主要是由誰來進行的 ? ,媽媽,爸爸,阿公,阿嘛,2
,,,,,
二星,,,,,
「大蘋果」是哪一個城市的名稱 ? ,巴黎,紐約,東京,香港,2
衛生署公布108年國人十大死因之首為 ? ,心臟疾病,癌症,事故傷害,糖尿病,2
近來被刪除在太陽系外的行星是 ? ,海王星,土星,冥王星,天王星,3
請問下列哪個國家的主要信仰不是天主教 ? ,義大利,法國,墨西哥,希臘,4
請問動畫「烏龍派出所」的作者為 ? ,青山剛昌,藤子不二雄,臼井儀人,秋本治,4
請問金庸的第一部小說作品為 ? ,書劍恩仇錄,碧血劍,射鵰英雄傳,神鵰俠侶,1
世界上最大的海洋是 ? ,太平洋,印度洋,大西洋,北極海,1
「ACE球」 是以下哪種體育的專門術語 ? ,羽球,高爾夫球,網球,籃球,3
在色彩之中，紫色可以用哪兩種顏色調配出 ? ,紅色 + 綠色 ,紅色 + 黃色,紅色 + 藍色 ,綠色 + 藍色 ,3
請問下列何者非台灣原住民的傳統慶典 ? ,豐年祭,矮靈祭,戰祭,晨祭,4
,,,,,
三星,,,,,
下列何者不是印象派的畫家 ? ,畢沙羅,米開朗基羅,雷諾瓦,莫內,2
綠島的溫泉，是屬於何種溫泉 ? ,平原,海底,洞穴,高山,2
欲查詢天氣時，可電話直撥幾號查詢 ? ,166,106,109,149,1
國際間決定原油供應量，影響油價波動的組織是 ? ,APEC,OPEC,WTO,OECD,2
月球的地心引力約為地球的 ? ,1 / 4,1 / 6,1 / 8,1 / 5,2
宮崎駿的作品中，第一部正式在台灣商業公映的是 ? ,龍貓,魔女宅急便,紅豬,天空之城,3
歌劇<魔笛>中，飾演帕帕基諾的歌手聲部屬於 ? ,男高音,男中音,女高音,女中音,2
音樂遊戲「maimai」，是由哪間遊戲公司開發製作的 ? ,亞馬遜,SEEC,SEGA,Konami,3
"take a break ~ The Ans is ""Two""!!",AWA,AWA,AWA,AWA,2
下列何者不是台科現在存在的社團 ? ,奇點咖啡社,法輪大法社,登山社,高爾夫球社,4
